timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2023-06-14T00:00:00.000Z";"2023-06-14T23:59:59.999Z";"2023-06-14T01:55:00.000Z";"2023-06-14T15:53:00.000Z";"2781";55.9578865396;60.3505001413;52.2912092479;56.8445032284;1551769.88;0;"2023-06-14T23:59:59.999Z"
"2023-06-13T00:00:00.000Z";"2023-06-13T23:59:59.999Z";"2023-06-13T16:00:00.000Z";"2023-06-13T02:17:00.000Z";"2781";52.924118683;61.3232224525;51.0205161427;55.9579223157;1934455.23;0;"2023-06-13T23:59:59.999Z"
"2023-06-12T00:00:00.000Z";"2023-06-12T23:59:59.999Z";"2023-06-12T23:28:00.000Z";"2023-06-12T03:26:00.000Z";"2781";50.2450273701;53.4578737745;46.3766467517;52.9218844579;1168131.2;0;"2023-06-12T23:59:59.999Z"
"2023-06-11T00:00:00.000Z";"2023-06-11T23:59:59.999Z";"2023-06-11T16:53:00.000Z";"2023-06-11T05:07:00.000Z";"2781";45.9385159365;53.9121467808;44.808966621;50.2445831859;1125135.14;0;"2023-06-11T23:59:59.999Z"
"2023-06-10T00:00:00.000Z";"2023-06-10T23:59:59.999Z";"2023-06-10T00:38:00.000Z";"2023-06-10T08:20:00.000Z";"2781";50.9871545614;51.0280230592;43.5075089709;45.9376072514;1444423;0;"2023-06-10T23:59:59.999Z"
"2023-06-09T00:00:00.000Z";"2023-06-09T23:59:59.999Z";"2023-06-09T18:13:00.000Z";"2023-06-09T06:46:00.000Z";"2781";50.940291778;51.9717373089;46.0613862224;50.9870511473;1548639.35;0;"2023-06-09T23:59:59.999Z"
"2023-06-08T00:00:00.000Z";"2023-06-08T23:59:59.999Z";"2023-06-08T07:48:00.000Z";"2023-06-08T15:52:00.000Z";"2781";49.6732172483;52.1293828683;49.0072154757;50.9403859837;965862.81;0;"2023-06-08T23:59:59.999Z"
"2023-06-07T00:00:00.000Z";"2023-06-07T23:59:59.999Z";"2023-06-07T00:54:00.000Z";"2023-06-07T23:46:00.000Z";"2781";54.514553493;55.3431795235;49.3722629579;49.6719909515;1020876.87;0;"2023-06-07T23:59:59.999Z"
"2023-06-06T00:00:00.000Z";"2023-06-06T23:59:59.999Z";"2023-06-06T20:45:00.000Z";"2023-06-06T04:40:00.000Z";"2781";51.2493007408;55.7294356104;50.0613390263;54.5156567563;1287271.9;0;"2023-06-06T23:59:59.999Z"
"2023-06-05T00:00:00.000Z";"2023-06-05T23:59:59.999Z";"2023-06-05T00:20:00.000Z";"2023-06-05T19:11:00.000Z";"2781";57.6746738;57.8113592604;49.7634859445;51.2506754962;1577432.81;0;"2023-06-05T23:59:59.999Z"
"2023-06-04T00:00:00.000Z";"2023-06-04T23:59:59.999Z";"2023-06-04T00:09:00.000Z";"2023-06-04T17:21:00.000Z";"2781";62.1302316517;62.6913389529;55.1730203441;57.6735374658;1204660.19;0;"2023-06-04T23:59:59.999Z"
"2023-06-03T00:00:00.000Z";"2023-06-03T23:59:59.999Z";"2023-06-03T00:00:00.000Z";"2023-06-03T05:03:00.000Z";"2781";64.7839166075;64.7839166075;58.8925159352;62.1286153354;1295253.41;0;"2023-06-03T23:59:59.999Z"
"2023-06-02T00:00:00.000Z";"2023-06-02T23:59:59.999Z";"2023-06-02T20:19:00.000Z";"2023-06-02T01:58:00.000Z";"2781";54.5417558753;65.3171549852;54.0633500162;64.7842491591;1587640.01;0;"2023-06-02T23:59:59.999Z"
"2023-06-01T00:00:00.000Z";"2023-06-01T23:59:59.999Z";"2023-06-01T00:17:00.000Z";"2023-06-01T20:40:00.000Z";"2781";58.9188912753;59.5915764717;52.8885793743;54.5423636596;1372931.49;0;"2023-06-01T23:59:59.999Z"
"2023-05-31T00:00:00.000Z";"2023-05-31T23:59:59.999Z";"2023-05-31T00:39:00.000Z";"2023-05-31T21:48:00.000Z";"2781";62.2913018947;65.8530222379;55.0860193191;58.9189824527;1244837.25;0;"2023-05-31T23:59:59.999Z"
"2023-05-30T00:00:00.000Z";"2023-05-30T23:59:59.999Z";"2023-05-30T02:06:00.000Z";"2023-05-30T23:54:00.000Z";"2781";66.963155297;71.393321665;62.282757539;62.2902344058;1462081.23;0;"2023-05-30T23:59:59.999Z"
"2023-05-29T00:00:00.000Z";"2023-05-29T23:59:59.999Z";"2023-05-29T23:13:00.000Z";"2023-05-29T03:15:00.000Z";"2781";63.0014733491;69.673012048;61.477106549;66.9597543838;1418010.7;0;"2023-05-29T23:59:59.999Z"
"2023-05-28T00:00:00.000Z";"2023-05-28T23:59:59.999Z";"2023-05-28T03:36:00.000Z";"2023-05-28T07:48:00.000Z";"2781";64.3158514034;66.3263559347;58.8190799863;62.9926175281;1073812.69;0;"2023-05-28T23:59:59.999Z"
"2023-05-27T00:00:00.000Z";"2023-05-27T23:59:59.999Z";"2023-05-27T02:05:00.000Z";"2023-05-27T10:58:00.000Z";"2781";58.6609302432;69.7774177776;56.8209578762;64.3175500581;1266254.42;0;"2023-05-27T23:59:59.999Z"
"2023-05-26T00:00:00.000Z";"2023-05-26T23:59:59.999Z";"2023-05-26T23:14:00.000Z";"2023-05-26T00:00:00.000Z";"2781";46.2463763099;60.4416610412;46.2463763099;58.6614540122;1223282.05;0;"2023-05-26T23:59:59.999Z"
"2023-05-25T00:00:00.000Z";"2023-05-25T23:59:59.999Z";"2023-05-25T22:02:00.000Z";"2023-05-25T11:35:00.000Z";"2781";44.1867521787;48.1061183056;42.8163837218;46.2464065002;385966.7;0;"2023-05-25T23:59:59.999Z"
"2023-05-24T00:00:00.000Z";"2023-05-24T23:59:59.999Z";"2023-05-24T00:15:00.000Z";"2023-05-24T19:15:00.000Z";"2781";49.6122627091;50.936378624;43.6640950477;44.1887962165;366210.74;0;"2023-05-24T23:59:59.999Z"
"2023-05-23T00:00:00.000Z";"2023-05-23T23:59:59.999Z";"2023-05-23T05:43:00.000Z";"2023-05-23T20:26:00.000Z";"2781";48.5506701324;52.1651959419;47.3560927536;49.6111727956;314796.62;0;"2023-05-23T23:59:59.999Z"
"2023-05-22T00:00:00.000Z";"2023-05-22T23:59:59.999Z";"2023-05-22T06:01:00.000Z";"2023-05-22T02:04:00.000Z";"2781";47.8827065576;49.6773542744;46.1756626426;48.5505460678;415965.18;0;"2023-05-22T23:59:59.999Z"
"2023-05-21T00:00:00.000Z";"2023-05-21T23:59:59.999Z";"2023-05-21T03:22:00.000Z";"2023-05-21T13:26:00.000Z";"2781";53.9898552261;55.914814707;45.9068444959;47.8844744225;970037.32;0;"2023-05-21T23:59:59.999Z"
"2023-05-20T00:00:00.000Z";"2023-05-20T23:59:59.999Z";"2023-05-20T17:47:00.000Z";"2023-05-20T12:55:00.000Z";"2781";50.0516613483;54.4455066229;47.8091713754;53.9909874552;871246.46;0;"2023-05-20T23:59:59.999Z"
"2023-05-19T00:00:00.000Z";"2023-05-19T23:59:59.999Z";"2023-05-19T15:49:00.000Z";"2023-05-19T06:18:00.000Z";"2781";47.919089644;51.8344891264;46.3053347302;50.0511667135;859227.62;0;"2023-05-19T23:59:59.999Z"
"2023-05-18T00:00:00.000Z";"2023-05-18T23:59:59.999Z";"2023-05-18T14:56:00.000Z";"2023-05-18T12:23:00.000Z";"2781";49.7279553003;53.3545400903;46.1147876066;47.9166772265;879234;0;"2023-05-18T23:59:59.999Z"
"2023-05-17T00:00:00.000Z";"2023-05-17T23:59:59.999Z";"2023-05-17T19:14:00.000Z";"2023-05-17T04:03:00.000Z";"2781";43.9883923812;53.1051141686;41.2253251855;49.727934254;1349330.39;0;"2023-05-17T23:59:59.999Z"
"2023-05-16T00:00:00.000Z";"2023-05-16T23:59:59.999Z";"2023-05-16T23:31:00.000Z";"2023-05-16T00:50:00.000Z";"2781";34.0880520667;44.958008733;34.0599610999;43.9886114418;1039450.26;0;"2023-05-16T23:59:59.999Z"
"2023-05-15T00:00:00.000Z";"2023-05-15T23:59:59.999Z";"2023-05-15T20:30:00.000Z";"2023-05-15T05:10:00.000Z";"2781";35.0959269337;36.8910464766;33.2019875119;34.0881865826;753368.74;0;"2023-05-15T23:59:59.999Z"
"2023-05-14T00:00:00.000Z";"2023-05-14T23:59:59.999Z";"2023-05-14T21:08:00.000Z";"2023-05-14T09:02:00.000Z";"2781";35.2658477884;36.0394343414;30.4009553147;35.0975680111;944940.58;0;"2023-05-14T23:59:59.999Z"
"2023-05-13T00:00:00.000Z";"2023-05-13T23:59:59.999Z";"2023-05-13T08:08:00.000Z";"2023-05-13T21:06:00.000Z";"2781";35.2776308782;37.1750339749;31.7643172841;35.2664740285;997254.73;0;"2023-05-13T23:59:59.999Z"
"2023-05-12T00:00:00.000Z";"2023-05-12T23:59:59.999Z";"2023-05-12T01:45:00.000Z";"2023-05-12T21:33:00.000Z";"2781";37.9755675554;38.9980914184;32.501747454;35.2796578113;966813.86;0;"2023-05-12T23:59:59.999Z"
"2023-05-11T00:00:00.000Z";"2023-05-11T23:59:59.999Z";"2023-05-11T00:00:00.000Z";"2023-05-11T16:20:00.000Z";"2781";39.5676116016;39.5676116016;36.1773177096;37.9755241899;573865.04;0;"2023-05-11T23:59:59.999Z"
"2023-05-10T00:00:00.000Z";"2023-05-10T23:59:59.999Z";"2023-05-10T14:50:00.000Z";"2023-05-10T17:58:00.000Z";"2781";38.8878425706;43.7344211224;35.9197039935;39.5651198877;839137.52;0;"2023-05-10T23:59:59.999Z"
"2023-05-09T00:00:00.000Z";"2023-05-09T23:59:59.999Z";"2023-05-09T00:00:00.000Z";"2023-05-09T10:10:00.000Z";"2781";40.8972832862;40.8972832862;37.2816298012;38.8863588427;617239.59;0;"2023-05-09T23:59:59.999Z"
"2023-05-08T00:00:00.000Z";"2023-05-08T23:59:59.999Z";"2023-05-08T21:51:00.000Z";"2023-05-08T01:06:00.000Z";"2781";42.7938454812;43.9581082942;32.4765209526;40.8972733466;998256.88;0;"2023-05-08T23:59:59.999Z"
"2023-05-07T00:00:00.000Z";"2023-05-07T23:59:59.999Z";"2023-05-07T22:47:00.000Z";"2023-05-07T12:12:00.000Z";"2781";38.9080764954;44.7526798346;36.491537514;42.7947097219;901949.04;0;"2023-05-07T23:59:59.999Z"
"2023-05-06T00:00:00.000Z";"2023-05-06T23:59:59.999Z";"2023-05-06T07:52:00.000Z";"2023-05-06T20:22:00.000Z";"2781";40.1398919752;40.4701825943;37.8801108978;38.9077713136;667822.46;0;"2023-05-06T23:59:59.999Z"
"2023-05-05T00:00:00.000Z";"2023-05-05T23:59:59.999Z";"2023-05-05T05:45:00.000Z";"2023-05-05T20:44:00.000Z";"2781";43.5839813473;45.1324519319;37.420080699;40.1413104211;884518.15;0;"2023-05-05T23:59:59.999Z"
"2023-05-04T00:00:00.000Z";"2023-05-04T23:59:59.999Z";"2023-05-04T00:02:00.000Z";"2023-05-04T20:12:00.000Z";"2781";47.2903806408;47.422122342;41.0731258224;43.5845989279;770140.29;0;"2023-05-04T23:59:59.999Z"
"2023-05-03T00:00:00.000Z";"2023-05-03T23:59:59.999Z";"2023-05-03T14:09:00.000Z";"2023-05-03T04:50:00.000Z";"2781";44.3428883091;47.6055072108;42.8287406919;47.2905674847;657198.79;0;"2023-05-03T23:59:59.999Z"
"2023-05-02T00:00:00.000Z";"2023-05-02T23:59:59.999Z";"2023-05-02T13:09:00.000Z";"2023-05-02T15:29:00.000Z";"2781";41.4133257499;44.9434438029;40.4429192854;44.3410435405;719823.49;0;"2023-05-02T23:59:59.999Z"
"2023-05-01T00:00:00.000Z";"2023-05-01T23:59:59.999Z";"2023-05-01T03:28:00.000Z";"2023-05-01T10:48:00.000Z";"2781";42.3365858274;42.5707217278;39.404309008;41.4132185469;755054.96;0;"2023-05-01T23:59:59.999Z"
"2023-04-30T00:00:00.000Z";"2023-04-30T23:59:59.999Z";"2023-04-30T01:58:00.000Z";"2023-04-30T18:13:00.000Z";"2781";44.5885510571;45.972490413;41.0101083072;42.3368978069;831141.1;0;"2023-04-30T23:59:59.999Z"
"2023-04-29T00:00:00.000Z";"2023-04-29T23:59:59.999Z";"2023-04-29T01:36:00.000Z";"2023-04-29T13:11:00.000Z";"2781";48.1988737415;48.4156629543;43.4493078957;44.5894330891;882455.69;0;"2023-04-29T23:59:59.999Z"
"2023-04-28T00:00:00.000Z";"2023-04-28T23:59:59.999Z";"2023-04-28T04:48:00.000Z";"2023-04-28T01:24:00.000Z";"2781";46.9881319427;51.1933180152;46.9328198536;48.1964741589;612856.72;0;"2023-04-28T23:59:59.999Z"
"2023-04-27T00:00:00.000Z";"2023-04-27T23:59:59.999Z";"2023-04-27T01:20:00.000Z";"2023-04-27T21:22:00.000Z";"2781";49.0436566561;49.7266429157;46.1300968723;46.9878505619;618559.1;0;"2023-04-27T23:59:59.999Z"
"2023-04-26T00:00:00.000Z";"2023-04-26T23:59:59.999Z";"2023-04-26T12:02:00.000Z";"2023-04-26T01:32:00.000Z";"2781";47.0592448245;52.5284186483;46.8394775331;49.0440210616;885525.22;0;"2023-04-26T23:59:59.999Z"
"2023-04-25T00:00:00.000Z";"2023-04-25T23:59:59.999Z";"2023-04-25T04:09:00.000Z";"2023-04-25T23:53:00.000Z";"2781";48.4379674308;52.7032673271;46.7041238227;47.0586603279;634606.2;0;"2023-04-25T23:59:59.999Z"
"2023-04-24T00:00:00.000Z";"2023-04-24T23:59:59.999Z";"2023-04-24T19:53:00.000Z";"2023-04-24T10:01:00.000Z";"2781";47.9089751732;59.8742494965;43.7954770912;48.4377812628;1239499.87;0;"2023-04-24T23:59:59.999Z"
"2023-04-23T00:00:00.000Z";"2023-04-23T23:59:59.999Z";"2023-04-23T06:01:00.000Z";"2023-04-23T17:36:00.000Z";"2781";51.0907790366;51.3643250008;43.8697204244;47.9071246801;1064712.06;0;"2023-04-23T23:59:59.999Z"
"2023-04-22T00:00:00.000Z";"2023-04-22T23:59:59.999Z";"2023-04-22T03:28:00.000Z";"2023-04-22T20:17:00.000Z";"2781";53.4428339888;54.096665345;49.1316268823;51.0909579551;714297.86;0;"2023-04-22T23:59:59.999Z"
"2023-04-21T00:00:00.000Z";"2023-04-21T23:59:59.999Z";"2023-04-21T07:34:00.000Z";"2023-04-21T23:13:00.000Z";"2781";53.6661377524;56.0288443354;52.9246439419;53.4419660955;687557.15;0;"2023-04-21T23:59:59.999Z"
"2023-04-20T00:00:00.000Z";"2023-04-20T23:59:59.999Z";"2023-04-20T13:11:00.000Z";"2023-04-20T22:33:00.000Z";"2781";55.5542139456;57.6423622761;53.1784173602;53.6663923765;769212.13;0;"2023-04-20T23:59:59.999Z"
"2023-04-19T00:00:00.000Z";"2023-04-19T23:59:59.999Z";"2023-04-19T02:38:00.000Z";"2023-04-19T14:05:00.000Z";"2781";55.8172440894;60.4572645465;54.9812227711;55.554088851;812007.63;0;"2023-04-19T23:59:59.999Z"
"2023-04-18T00:00:00.000Z";"2023-04-18T23:59:59.999Z";"2023-04-18T17:26:00.000Z";"2023-04-18T19:13:00.000Z";"2781";57.4460701124;58.5179203915;53.6246813789;55.8162848078;913543.22;0;"2023-04-18T23:59:59.999Z"
"2023-04-17T00:00:00.000Z";"2023-04-17T23:59:59.999Z";"2023-04-17T05:15:00.000Z";"2023-04-17T18:21:00.000Z";"2781";57.2890428435;58.99857103;53.0657010103;57.4480872955;952397.93;0;"2023-04-17T23:59:59.999Z"
"2023-04-16T00:00:00.000Z";"2023-04-16T23:59:59.999Z";"2023-04-16T01:01:00.000Z";"2023-04-16T23:46:00.000Z";"2781";59.55042196;61.434017259;57.1676503079;57.2886395867;575366.31;0;"2023-04-16T23:59:59.999Z"
"2023-04-15T00:00:00.000Z";"2023-04-15T23:59:59.999Z";"2023-04-15T09:09:00.000Z";"2023-04-15T15:39:00.000Z";"2781";62.0009050899;63.2236478735;58.7404797095;59.5508982726;728064.07;0;"2023-04-15T23:59:59.999Z"
"2023-04-14T00:00:00.000Z";"2023-04-14T23:59:59.999Z";"2023-04-14T06:40:00.000Z";"2023-04-14T13:36:00.000Z";"2781";62.9740474162;63.6356495178;58.5164068404;62.0004742717;809936.63;0;"2023-04-14T23:59:59.999Z"
"2023-04-13T00:00:00.000Z";"2023-04-13T23:59:59.999Z";"2023-04-13T10:10:00.000Z";"2023-04-13T00:06:00.000Z";"2781";61.1715066797;64.8583014583;59.7304967965;62.9707112974;817120.04;0;"2023-04-13T23:59:59.999Z"
"2023-04-12T00:00:00.000Z";"2023-04-12T23:59:59.999Z";"2023-04-12T12:56:00.000Z";"2023-04-13T00:06:00.000Z";"2781";61.2430134668;65.2813680811;59.7304967965;61.3501960978;777568.16;0;"2023-04-12T23:59:59.999Z"
"2023-04-11T00:00:00.000Z";"2023-04-11T23:59:59.999Z";"2023-04-11T11:56:00.000Z";"2023-04-11T07:15:00.000Z";"2781";58.7350070456;64.8892882307;57.3130881753;61.2408569526;960496.08;0;"2023-04-11T23:59:59.999Z"
"2023-04-10T00:00:00.000Z";"2023-04-10T23:59:59.999Z";"2023-04-10T20:02:00.000Z";"2023-04-10T07:28:00.000Z";"2781";55.9048166962;59.9479619668;53.635068783;58.7320207434;983640.76;0;"2023-04-10T23:59:59.999Z"
"2023-04-09T00:00:00.000Z";"2023-04-09T23:59:59.999Z";"2023-04-09T02:11:00.000Z";"2023-04-09T17:16:00.000Z";"2781";60.3807209185;64.7204265648;50.9537466124;55.9036037052;1184341.04;0;"2023-04-09T23:59:59.999Z"
"2023-04-08T00:00:00.000Z";"2023-04-08T23:59:59.999Z";"2023-04-08T21:30:00.000Z";"2023-04-08T01:17:00.000Z";"2781";57.0849355006;64.4195390042;56.6131889485;60.3789676615;730224.05;0;"2023-04-08T23:59:59.999Z"
"2023-04-07T00:00:00.000Z";"2023-04-07T23:59:59.999Z";"2023-04-07T03:47:00.000Z";"2023-04-07T23:58:00.000Z";"2781";60.5731032353;67.7033051742;57.0861250455;57.0863632945;785686.21;0;"2023-04-07T23:59:59.999Z"
"2023-04-06T00:00:00.000Z";"2023-04-06T23:59:59.999Z";"2023-04-06T15:54:00.000Z";"2023-04-06T02:25:00.000Z";"2781";58.5689653298;65.5266916517;57.3572945914;60.5763436274;843202.79;0;"2023-04-06T23:59:59.999Z"
"2023-04-05T00:00:00.000Z";"2023-04-05T23:59:59.999Z";"2023-04-05T00:07:00.000Z";"2023-04-05T19:07:00.000Z";"2781";59.7640044585;59.8109844573;56.9204613107;58.5666025551;698588.89;0;"2023-04-05T23:59:59.999Z"
"2023-04-04T00:00:00.000Z";"2023-04-04T23:59:59.999Z";"2023-04-04T01:29:00.000Z";"2023-04-04T07:06:00.000Z";"2781";59.8539288722;60.5731803469;55.7915591448;59.7649167422;776025.88;0;"2023-04-04T23:59:59.999Z"
"2023-04-03T00:00:00.000Z";"2023-04-03T23:59:59.999Z";"2023-04-03T06:55:00.000Z";"2023-04-03T08:18:00.000Z";"2781";59.8218983552;63.4250411199;56.5740886882;59.8547026547;992912.04;0;"2023-04-03T23:59:59.999Z"
"2023-04-02T00:00:00.000Z";"2023-04-02T23:59:59.999Z";"2023-04-02T20:03:00.000Z";"2023-04-02T12:52:00.000Z";"2781";61.3764769167;63.9724618394;55.9533485458;59.8228223918;789658.5;0;"2023-04-02T23:59:59.999Z"
"2023-04-01T00:00:00.000Z";"2023-04-01T23:59:59.999Z";"2023-04-01T03:45:00.000Z";"2023-04-02T02:27:00.000Z";"2781";62.9004016763;65.8705143921;57.4856484824;57.9219982525;822089.38;0;"2023-04-01T23:59:59.999Z"
"2023-03-31T00:00:00.000Z";"2023-03-31T23:59:59.999Z";"2023-03-31T01:48:00.000Z";"2023-03-31T23:40:00.000Z";"2781";66.1758554402;69.371650109;58.4571581638;62.9014832616;931389.33;0;"2023-03-31T23:59:59.999Z"
"2023-03-30T00:00:00.000Z";"2023-03-30T23:59:59.999Z";"2023-03-30T10:43:00.000Z";"2023-03-30T00:23:00.000Z";"2781";65.0767676658;67.4939708287;61.1222083246;66.1748541349;425678.85;0;"2023-03-30T23:59:59.999Z"
"2023-03-29T00:00:00.000Z";"2023-03-29T23:59:59.999Z";"2023-03-29T04:45:00.000Z";"2023-03-29T22:12:00.000Z";"2781";66.3903956402;68.7621857198;61.3167625;65.0760023039;417727.96;0;"2023-03-29T23:59:59.999Z"
"2023-03-28T00:00:00.000Z";"2023-03-28T23:59:59.999Z";"2023-03-28T08:20:00.000Z";"2023-03-28T18:31:00.000Z";"2781";69.2652513933;71.706418412;62.9245490293;66.3928620628;325359.26;0;"2023-03-28T23:59:59.999Z"
"2023-03-27T00:00:00.000Z";"2023-03-27T23:59:59.999Z";"2023-03-27T12:18:00.000Z";"2023-03-27T08:06:00.000Z";"2781";70.005600116;74.013753171;66.3820038492;69.2655021511;343110.36;0;"2023-03-27T23:59:59.999Z"
