timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2019-06-14T00:00:00.000Z";"2019-06-14T23:59:59.999Z";"2019-06-14T23:36:02.000Z";"2019-06-14T01:59:00.000Z";"2781";256.17965445;265.371384942;254.147424413;264.08745783;8676891266.98;28123338884.4728;"2019-06-14T23:59:59.999Z"
"2019-06-13T00:00:00.000Z";"2019-06-13T23:59:59.999Z";"2019-06-13T00:18:03.000Z";"2019-06-13T23:53:01.000Z";"2781";260.913515345;262.163130487;255.596276815;256.168792302;8442077836.33;27276572627.3432;"2019-06-13T23:59:59.999Z"
"2019-06-12T00:00:00.000Z";"2019-06-12T23:59:59.999Z";"2019-06-12T23:58:03.000Z";"2019-06-12T01:00:02.000Z";"2781";245.925493719;261.017581043;244.49131484;260.903303733;8645598617.64;27777154177.337;"2019-06-12T23:59:59.999Z"
"2019-06-11T00:00:00.000Z";"2019-06-11T23:59:59.999Z";"2019-06-11T00:10:00.000Z";"2019-06-11T16:22:01.000Z";"2781";247.862122482;248.66257562;239.82534228;245.781827855;7382269700.39;26163906568.7401;"2019-06-11T23:59:59.999Z"
"2019-06-10T00:00:00.000Z";"2019-06-10T23:59:59.999Z";"2019-06-10T23:48:01.000Z";"2019-06-10T00:32:02.000Z";"2781";232.830145239;247.662163125;229.341765157;247.520125135;8141159847.92;26345596474.6313;"2019-06-10T23:59:59.999Z"
"2019-06-09T00:00:00.000Z";"2019-06-09T23:59:59.999Z";"2019-06-09T00:07:00.000Z";"2019-06-09T22:36:01.000Z";"2781";245.540479163;245.972822038;229.257431009;233.086698165;7566421455.56;24806123508.6372;"2019-06-09T23:59:59.999Z"
"2019-06-08T00:00:00.000Z";"2019-06-08T23:59:59.999Z";"2019-06-08T01:00:02.000Z";"2019-06-08T17:40:01.000Z";"2781";251.249319783;252.377389835;243.229106707;245.738091433;7225996863.2;26149221978.7501;"2019-06-08T23:59:59.999Z"
"2019-06-07T00:00:00.000Z";"2019-06-07T23:59:59.999Z";"2019-06-07T18:43:00.000Z";"2019-06-07T04:49:01.000Z";"2781";249.335288129;254.352288864;246.597903606;250.930360395;8379534527.81;26698353829.5767;"2019-06-07T23:59:59.999Z"
"2019-06-06T00:00:00.000Z";"2019-06-06T23:59:59.999Z";"2019-06-06T23:58:03.000Z";"2019-06-06T18:38:01.000Z";"2781";246.925245514;249.944500365;238.501120847;249.474338747;8265146806.32;26540057658.5091;"2019-06-06T23:59:59.999Z"
"2019-06-05T00:00:00.000Z";"2019-06-05T23:59:59.999Z";"2019-06-05T22:38:00.000Z";"2019-06-05T15:39:01.000Z";"2781";241.497038946;248.138131717;239.983459122;247.051016639;8548917061.98;26278874480.4874;"2019-06-05T23:59:59.999Z"
"2019-06-04T00:00:00.000Z";"2019-06-04T23:59:59.999Z";"2019-06-04T00:00:02.000Z";"2019-06-04T22:05:04.000Z";"2781";252.511642109;252.511642109;236.127213155;241.338786302;10132549746.68;25667971280.79;"2019-06-04T23:59:59.999Z"
"2019-06-03T00:00:00.000Z";"2019-06-03T23:59:59.999Z";"2019-06-03T05:09:02.000Z";"2019-06-03T23:36:01.000Z";"2781";270.088546982;270.334115053;251.26219115;252.607929766;9375712916.61;26863086906.2859;"2019-06-03T23:59:59.999Z"
"2019-06-02T00:00:00.000Z";"2019-06-02T23:59:59.999Z";"2019-06-02T12:45:04.000Z";"2019-06-02T03:16:01.000Z";"2781";265.512718653;272.80722404;265.041884517;270.225527951;8744111713.27;28732949884.7457;"2019-06-02T23:59:59.999Z"
"2019-06-01T00:00:00.000Z";"2019-06-01T23:59:59.999Z";"2019-06-01T00:59:01.000Z";"2019-06-01T14:53:03.000Z";"2781";268.433356229;273.557972869;263.524593207;265.391260671;9942869851.9;28215330783.7603;"2019-06-01T23:59:59.999Z"
"2019-05-31T00:00:00.000Z";"2019-05-31T23:59:59.999Z";"2019-05-31T23:53:01.000Z";"2019-05-31T05:04:01.000Z";"2781";256.015274453;268.659941413;249.111850141;268.113560321;11255023514.71;28501098830.8551;"2019-05-31T23:59:59.999Z"
"2019-05-30T00:00:00.000Z";"2019-05-30T23:59:59.999Z";"2019-05-30T16:08:01.000Z";"2019-05-30T21:34:01.000Z";"2781";269.551887205;287.201638845;247.348602483;255.858948474;13604268584.36;27194892740.7185;"2019-05-30T23:59:59.999Z"
"2019-05-29T00:00:00.000Z";"2019-05-29T23:59:59.999Z";"2019-05-29T17:05:00.000Z";"2019-05-29T06:04:01.000Z";"2781";271.779066098;273.756274625;263.091411967;269.455701828;9819132174.36;28636457373.2769;"2019-05-29T23:59:59.999Z"
"2019-05-28T00:00:00.000Z";"2019-05-28T23:59:59.999Z";"2019-05-28T17:38:01.000Z";"2019-05-28T13:40:00.000Z";"2781";272.590497231;274.320824254;267.514385506;271.76871076;10362846898.44;28878512606.7331;"2019-05-28T23:59:59.999Z"
"2019-05-27T00:00:00.000Z";"2019-05-27T23:59:59.999Z";"2019-05-27T16:39:02.000Z";"2019-05-27T11:28:00.000Z";"2781";267.141883996;278.50725112;265.444697967;272.86264362;12074664735.62;28991071395.5429;"2019-05-27T23:59:59.999Z"
"2019-05-26T00:00:00.000Z";"2019-05-26T23:59:59.999Z";"2019-05-26T21:54:01.000Z";"2019-05-26T12:10:01.000Z";"2781";251.72479506;269.16652345;247.245385118;267.069644637;9664267730.9;28371943145.1601;"2019-05-26T23:59:59.999Z"
"2019-05-25T00:00:00.000Z";"2019-05-25T23:59:59.999Z";"2019-05-25T11:25:01.000Z";"2019-05-25T00:45:03.000Z";"2781";249.694050205;257.356841526;249.088797751;251.759872316;8924985384.71;26742086785.8563;"2019-05-25T23:59:59.999Z"
"2019-05-24T00:00:00.000Z";"2019-05-24T23:59:59.999Z";"2019-05-24T16:47:02.000Z";"2019-05-24T05:41:01.000Z";"2781";245.98708954;255.259330606;243.240097916;249.484984964;9929433205.98;26497014858.4764;"2019-05-24T23:59:59.999Z"
"2019-05-23T00:00:00.000Z";"2019-05-23T23:59:59.999Z";"2019-05-23T22:44:00.000Z";"2019-05-23T09:33:01.000Z";"2781";244.665121533;247.61663148;233.793092876;245.965672113;10671663487.35;26119891327.4058;"2019-05-23T23:59:59.999Z"
"2019-05-22T00:00:00.000Z";"2019-05-22T23:59:59.999Z";"2019-05-22T01:05:01.000Z";"2019-05-22T22:07:01.000Z";"2781";254.995320786;258.801863395;242.73048829;244.698911619;9818257462.68;25982060191.6039;"2019-05-22T23:59:59.999Z"
"2019-05-21T00:00:00.000Z";"2019-05-21T23:59:59.999Z";"2019-05-21T21:06:01.000Z";"2019-05-21T05:25:01.000Z";"2781";251.647840439;262.107533176;248.196304872;255.215875873;11545049593.48;27095257004.1212;"2019-05-21T23:59:59.999Z"
"2019-05-20T00:00:00.000Z";"2019-05-20T23:59:59.999Z";"2019-05-20T00:01:00.000Z";"2019-05-20T13:15:01.000Z";"2781";261.267480176;261.551264718;241.80364457;251.864416688;10834541285.01;26736046291.7593;"2019-05-20T23:59:59.999Z"
"2019-05-19T00:00:00.000Z";"2019-05-19T23:59:59.999Z";"2019-05-19T23:16:01.000Z";"2019-05-19T00:05:03.000Z";"2781";234.449464995;263.740987331;233.758674382;261.292219263;12049250893.84;27733299057.1267;"2019-05-19T23:59:59.999Z"
"2019-05-18T00:00:00.000Z";"2019-05-18T23:59:59.999Z";"2019-05-18T00:10:01.000Z";"2019-05-18T09:38:01.000Z";"2781";243.911300406;246.362770419;233.099846277;234.595229584;10933142646.38;24896520187.1655;"2019-05-18T23:59:59.999Z"
"2019-05-17T00:00:00.000Z";"2019-05-17T23:59:59.999Z";"2019-05-17T00:18:01.000Z";"2019-05-17T16:10:01.000Z";"2781";263.848363999;266.979610579;227.767419879;243.764593413;16037551694.04;25866318004.5055;"2019-05-17T23:59:59.999Z"
"2019-05-16T00:00:00.000Z";"2019-05-16T23:59:59.999Z";"2019-05-16T16:01:01.000Z";"2019-05-16T12:59:01.000Z";"2781";246.941949724;275.394433117;245.795286216;264.010023118;18661465872.83;28010958252.9023;"2019-05-16T23:59:59.999Z"
"2019-05-15T00:00:00.000Z";"2019-05-15T23:59:59.999Z";"2019-05-15T23:26:03.000Z";"2019-05-15T00:01:01.000Z";"2781";217.010116931;247.446589145;216.822117009;247.153065441;13460006533.86;26219111162.4131;"2019-05-15T23:59:59.999Z"
"2019-05-14T00:00:00.000Z";"2019-05-14T23:59:59.999Z";"2019-05-14T23:48:01.000Z";"2019-05-14T00:08:01.000Z";"2781";196.738273906;217.874645396;196.054814088;217.148571659;12751049754.87;23033114137.1634;"2019-05-14T23:59:59.999Z"
