timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-06-12T00:00:00.000Z";"2024-06-12T23:59:59.999Z";"2024-06-12T14:20:00.000Z";"2024-06-12T01:50:00.000Z";"2781";0.9275644725;1.0081977942;0.9019497475;0.969892479;126117736.15;1309354846.6;"2024-06-12T23:59:59.999Z"
"2024-06-11T00:00:00.000Z";"2024-06-11T23:59:59.999Z";"2024-06-11T00:22:00.000Z";"2024-06-11T17:29:00.000Z";"2781";0.9685225671;0.9744881547;0.9002137795;0.92765611;110606084.65;1252335748.44;"2024-06-11T23:59:59.999Z"
"2024-06-10T00:00:00.000Z";"2024-06-10T23:59:59.999Z";"2024-06-10T01:46:00.000Z";"2024-06-10T23:38:00.000Z";"2781";1.0094324519;1.0122166421;0.9655266343;0.9685439093;78396977.17;1307534277.52;"2024-06-10T23:59:59.999Z"
"2024-06-09T00:00:00.000Z";"2024-06-09T23:59:59.999Z";"2024-06-09T19:15:00.000Z";"2024-06-09T03:28:00.000Z";"2781";0.9745258441;1.0197535844;0.9598780074;1.0096204493;58911370.8;1362987606.57;"2024-06-09T23:59:59.999Z"
"2024-06-08T00:00:00.000Z";"2024-06-08T23:59:59.999Z";"2024-06-08T02:01:00.000Z";"2024-06-08T22:31:00.000Z";"2781";1.0329002547;1.0409316719;0.9739827564;0.9746779296;83085804.84;1315815204.95;"2024-06-08T23:59:59.999Z"
"2024-06-07T00:00:00.000Z";"2024-06-07T23:59:59.999Z";"2024-06-07T12:04:00.000Z";"2024-06-07T18:16:00.000Z";"2781";1.1176378162;1.1261548437;0.969293705;1.0330607388;146834182.73;1394631997.42;"2024-06-07T23:59:59.999Z"
"2024-06-06T00:00:00.000Z";"2024-06-06T23:59:59.999Z";"2024-06-06T01:36:00.000Z";"2024-06-06T20:04:00.000Z";"2781";1.1578416577;1.1667161567;1.1019968102;1.1189176283;80811725.5;1510565207.44;"2024-06-06T23:59:59.999Z"
"2024-06-05T00:00:00.000Z";"2024-06-05T23:59:59.999Z";"2024-06-05T02:36:00.000Z";"2024-06-05T14:17:00.000Z";"2781";1.1473755924;1.1811638725;1.1428979406;1.1578416577;122668667.98;1563086237.91;"2024-06-05T23:59:59.999Z"
"2024-06-04T00:00:00.000Z";"2024-06-04T23:59:59.999Z";"2024-06-04T23:57:00.000Z";"2024-06-04T09:56:00.000Z";"2781";1.0908199388;1.1474546886;1.0779951887;1.1473560823;96300986.72;1548957049.7;"2024-06-04T23:59:59.999Z"
"2024-06-03T00:00:00.000Z";"2024-06-03T23:59:59.999Z";"2024-06-03T13:53:00.000Z";"2024-06-03T00:47:00.000Z";"2781";1.065266688;1.1165084366;1.0562345222;1.0908199388;88243203.09;1472606917.39;"2024-06-03T23:59:59.999Z"
