timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-06-12T00:00:00.000Z";"2024-06-12T23:59:59.999Z";"2024-06-12T14:52:00.000Z";"2024-06-12T01:49:00.000Z";"2781";0.456722619;0.4942102284;0.4404310064;0.481138359;124470682.15;1407329700.08;"2024-06-12T23:59:59.999Z"
"2024-06-11T00:00:00.000Z";"2024-06-11T23:59:59.999Z";"2024-06-11T11:28:00.000Z";"2024-06-11T17:29:00.000Z";"2781";0.4815391056;0.4820658809;0.4505445687;0.4571715284;99308209.47;1337226720.45;"2024-06-11T23:59:59.999Z"
"2024-06-10T00:00:00.000Z";"2024-06-10T23:59:59.999Z";"2024-06-10T01:34:00.000Z";"2024-06-10T08:01:00.000Z";"2781";0.5020216287;0.5034561271;0.4767684868;0.4815995786;83084012.04;1408678767.34;"2024-06-10T23:59:59.999Z"
"2024-06-09T00:00:00.000Z";"2024-06-09T23:59:59.999Z";"2024-06-09T23:31:00.000Z";"2024-06-09T02:39:00.000Z";"2781";0.4939172526;0.504748669;0.4822039961;0.5021950915;85474368.52;1468920642.77;"2024-06-09T23:59:59.999Z"
"2024-06-08T00:00:00.000Z";"2024-06-08T23:59:59.999Z";"2024-06-08T07:25:00.000Z";"2024-06-08T22:29:00.000Z";"2781";0.5235835342;0.5461693307;0.4890472815;0.4938923026;156803092.73;1444634985.22;"2024-06-08T23:59:59.999Z"
"2024-06-07T00:00:00.000Z";"2024-06-07T23:59:59.999Z";"2024-06-07T14:19:00.000Z";"2024-06-07T18:16:00.000Z";"2781";0.5096569617;0.5628603392;0.474229423;0.5246417765;208352284.75;1534577196.2;"2024-06-07T23:59:59.999Z"
"2024-06-06T00:00:00.000Z";"2024-06-06T23:59:59.999Z";"2024-06-06T02:37:00.000Z";"2024-06-06T20:04:00.000Z";"2781";0.5276170003;0.5317745824;0.5040978732;0.5096568749;55341856.31;1490746359.03;"2024-06-06T23:59:59.999Z"
"2024-06-05T00:00:00.000Z";"2024-06-05T23:59:59.999Z";"2024-06-05T16:19:00.000Z";"2024-06-05T14:13:00.000Z";"2781";0.5222702059;0.5321293141;0.515140453;0.5276122913;65226246.34;1543265952.03;"2024-06-05T23:59:59.999Z"
"2024-06-04T00:00:00.000Z";"2024-06-04T23:59:59.999Z";"2024-06-04T16:47:00.000Z";"2024-06-04T11:46:00.000Z";"2781";0.5037875554;0.5268894197;0.498802989;0.5222702059;70511658.83;1527640352.29;"2024-06-04T23:59:59.999Z"
"2024-06-03T00:00:00.000Z";"2024-06-03T23:59:59.999Z";"2024-06-03T13:09:00.000Z";"2024-06-03T00:40:00.000Z";"2781";0.4794146729;0.5159368453;0.4741095114;0.5037875554;96095055.53;1473578599.53;"2024-06-03T23:59:59.999Z"
"2024-06-02T00:00:00.000Z";"2024-06-02T23:59:59.999Z";"2024-06-02T16:08:00.000Z";"2024-06-02T21:43:00.000Z";"2781";0.4927762811;0.5026176515;0.4759800915;0.4794131885;77399952.61;1402287918.22;"2024-06-02T23:59:59.999Z"
"2024-06-01T00:00:00.000Z";"2024-06-01T23:59:59.999Z";"2024-06-01T00:47:00.000Z";"2024-06-01T18:49:00.000Z";"2781";0.5073145187;0.507934613;0.4903876884;0.4927758378;65467318.3;1441370622.32;"2024-06-01T23:59:59.999Z"
"2024-05-31T00:00:00.000Z";"2024-05-31T23:59:59.999Z";"2024-05-31T12:39:00.000Z";"2024-05-31T16:16:00.000Z";"2781";0.5107964725;0.5210033488;0.5006256644;0.5073145187;51855825.48;1483894967.23;"2024-05-31T23:59:59.999Z"
"2024-05-30T00:00:00.000Z";"2024-05-30T23:59:59.999Z";"2024-05-30T18:07:00.000Z";"2024-05-30T08:16:00.000Z";"2781";0.5151400071;0.524902884;0.5011470526;0.5107964725;60280603.42;1494079682.12;"2024-05-30T23:59:59.999Z"
"2024-05-29T00:00:00.000Z";"2024-05-29T23:59:59.999Z";"2024-05-29T05:46:00.000Z";"2024-05-29T21:13:00.000Z";"2781";0.5405456677;0.5456872788;0.5136116735;0.5151399225;85668520.46;1506784273.43;"2024-05-29T23:59:59.999Z"
"2024-05-28T00:00:00.000Z";"2024-05-28T23:59:59.999Z";"2024-05-28T00:10:00.000Z";"2024-05-28T18:55:00.000Z";"2781";0.5688848729;0.575779541;0.5315815415;0.5405456677;105487842.93;1581096078.1;"2024-05-28T23:59:59.999Z"
"2024-05-27T00:00:00.000Z";"2024-05-27T23:59:59.999Z";"2024-05-27T17:40:00.000Z";"2024-05-27T00:05:00.000Z";"2781";0.5373571392;0.5783638539;0.5334352618;0.5688848729;124410270.85;1663988253.21;"2024-05-27T23:59:59.999Z"
"2024-05-26T00:00:00.000Z";"2024-05-26T23:59:59.999Z";"2024-05-26T01:35:00.000Z";"2024-05-26T09:50:00.000Z";"2781";0.5333514672;0.5484272473;0.5254481327;0.5373571392;75116167.13;1571769632.11;"2024-05-26T23:59:59.999Z"
"2024-05-25T00:00:00.000Z";"2024-05-25T23:59:59.999Z";"2024-05-25T17:19:00.000Z";"2024-05-25T00:19:00.000Z";"2781";0.516111908;0.5377095087;0.5151296564;0.5333514672;62895633.93;1560053041.71;"2024-05-25T23:59:59.999Z"
"2024-05-24T00:00:00.000Z";"2024-05-24T23:59:59.999Z";"2024-05-24T00:53:00.000Z";"2024-05-24T08:29:00.000Z";"2781";0.5238128669;0.5274497983;0.4993918772;0.516111908;73688710.24;1509627330.87;"2024-05-24T23:59:59.999Z"
"2024-05-23T00:00:00.000Z";"2024-05-23T23:59:59.999Z";"2024-05-23T07:49:00.000Z";"2024-05-23T20:08:00.000Z";"2781";0.5444458489;0.5552417679;0.5012319982;0.5238128669;109210074.57;1532152635.75;"2024-05-23T23:59:59.999Z"
"2024-05-22T00:00:00.000Z";"2024-05-22T23:59:59.999Z";"2024-05-22T00:22:00.000Z";"2024-05-22T18:43:00.000Z";"2781";0.5700765595;0.5761118455;0.537574701;0.5444458489;92591684.59;1592504108;"2024-05-22T23:59:59.999Z"
"2024-05-21T00:00:00.000Z";"2024-05-21T23:59:59.999Z";"2024-05-21T00:28:00.000Z";"2024-05-21T21:37:00.000Z";"2781";0.5816969465;0.5983253187;0.5650323746;0.5700524763;119925697.27;1667473936.42;"2024-05-21T23:59:59.999Z"
"2024-05-20T00:00:00.000Z";"2024-05-20T23:59:59.999Z";"2024-05-20T18:47:00.000Z";"2024-05-20T01:38:00.000Z";"2781";0.5230678647;0.5829463086;0.5111747323;0.581701738;148371245.29;1701463568.63;"2024-05-20T23:59:59.999Z"
"2024-05-19T00:00:00.000Z";"2024-05-19T23:59:59.999Z";"2024-05-19T00:30:00.000Z";"2024-05-19T16:55:00.000Z";"2781";0.5492885954;0.5507995557;0.5201060106;0.5230678647;53745280.43;1529973504.34;"2024-05-19T23:59:59.999Z"
"2024-05-18T00:00:00.000Z";"2024-05-18T23:59:59.999Z";"2024-05-18T00:40:00.000Z";"2024-05-18T14:46:00.000Z";"2781";0.5611679928;0.5719543639;0.545952895;0.5492880318;73992657.02;1606667493.03;"2024-05-18T23:59:59.999Z"
"2024-05-17T00:00:00.000Z";"2024-05-17T23:59:59.999Z";"2024-05-17T22:11:00.000Z";"2024-05-17T00:31:00.000Z";"2781";0.539783892;0.5696755452;0.5378875339;0.5611679928;131192960.98;1641416378.96;"2024-05-17T23:59:59.999Z"
