timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2022-06-14T00:00:00.000Z";"2022-06-14T23:59:59.999Z";"2022-06-14T07:04:00.000Z";"2022-06-14T02:07:00.000Z";"2781";0.0237859042;0.024695897;0.0220556691;0.0239775694;193887566.1;1738641047.24;"2022-06-14T23:59:59.999Z"
"2022-06-13T00:00:00.000Z";"2022-06-13T23:59:59.999Z";"2022-06-13T00:37:00.000Z";"2022-06-13T14:52:00.000Z";"2781";0.0258518084;0.0260923233;0.0223330957;0.0237865693;252573790.27;1724791408.31;"2022-06-13T23:59:59.999Z"
"2022-06-12T00:00:00.000Z";"2022-06-12T23:59:59.999Z";"2022-06-12T00:40:00.000Z";"2022-06-12T14:19:00.000Z";"2781";0.0275601529;0.0279516177;0.0258070543;0.0258626497;162187108.48;1875330379.46;"2022-06-12T23:59:59.999Z"
"2022-06-11T00:00:00.000Z";"2022-06-11T23:59:59.999Z";"2022-06-11T05:11:00.000Z";"2022-06-11T15:58:00.000Z";"2781";0.0294828013;0.0301574178;0.0271343951;0.0275491263;141215915.95;1997618727.9;"2022-06-11T23:59:59.999Z"
"2022-06-10T00:00:00.000Z";"2022-06-10T23:59:59.999Z";"2022-06-10T03:25:00.000Z";"2022-06-10T23:31:00.000Z";"2781";0.031889345;0.0323300189;0.0293366976;0.0294789126;161665344.96;2137549748.68;"2022-06-10T23:59:59.999Z"
"2022-06-09T00:00:00.000Z";"2022-06-09T23:59:59.999Z";"2022-06-09T18:31:00.000Z";"2022-06-09T00:35:00.000Z";"2781";0.0303003316;0.0330385852;0.0299770951;0.0318888442;216613304.77;2312296651.61;"2022-06-09T23:59:59.999Z"
"2022-06-08T00:00:00.000Z";"2022-06-08T23:59:59.999Z";"2022-06-08T02:11:00.000Z";"2022-06-08T03:46:00.000Z";"2781";0.0306907166;0.0312365899;0.0300672382;0.0303012619;115032884.86;1948843139.55;"2022-06-08T23:59:59.999Z"
"2022-06-07T00:00:00.000Z";"2022-06-07T23:59:59.999Z";"2022-06-07T00:00:00.000Z";"2022-06-07T01:56:00.000Z";"2781";0.0318320626;0.0318320626;0.0296175967;0.0306881383;158932635.56;1973725320.89;"2022-06-07T23:59:59.999Z"
"2022-06-06T00:00:00.000Z";"2022-06-06T23:59:59.999Z";"2022-06-06T08:58:00.000Z";"2022-06-06T00:04:00.000Z";"2781";0.0303964322;0.0327011717;0.0303702981;0.0318354883;155044308.41;2047517796.33;"2022-06-06T23:59:59.999Z"
"2022-06-05T00:00:00.000Z";"2022-06-05T23:59:59.999Z";"2022-06-05T16:11:00.000Z";"2022-06-05T02:01:00.000Z";"2781";0.0305635374;0.0308850611;0.0300638575;0.0303882058;103763003.53;1954434990.6;"2022-06-05T23:59:59.999Z"
"2022-06-04T00:00:00.000Z";"2022-06-04T23:59:59.999Z";"2022-06-04T22:23:00.000Z";"2022-06-04T02:32:00.000Z";"2781";0.030251438;0.0307116216;0.0296532007;0.0305643784;108498488.92;1965765629.34;"2022-06-04T23:59:59.999Z"
"2022-06-03T00:00:00.000Z";"2022-06-03T23:59:59.999Z";"2022-06-03T02:02:00.000Z";"2022-06-03T16:22:00.000Z";"2781";0.0315368057;0.0317135901;0.0298220182;0.0302512445;128134805.45;1945626242.84;"2022-06-03T23:59:59.999Z"
"2022-06-02T00:00:00.000Z";"2022-06-02T23:59:59.999Z";"2022-06-02T22:43:00.000Z";"2022-06-02T00:37:00.000Z";"2781";0.0305471871;0.0316844299;0.0301305035;0.0315382559;151504582.07;2028401128;"2022-06-02T23:59:59.999Z"
"2022-06-01T00:00:00.000Z";"2022-06-01T23:59:59.999Z";"2022-06-01T01:58:00.000Z";"2022-06-01T22:04:00.000Z";"2781";0.0327705657;0.0340663615;0.0301213551;0.0305492139;214870065.27;1964790320.69;"2022-06-01T23:59:59.999Z"
"2022-05-31T00:00:00.000Z";"2022-05-31T23:59:59.999Z";"2022-05-31T18:13:00.000Z";"2022-05-31T14:07:00.000Z";"2781";0.0329722538;0.0337255816;0.0319458046;0.0327679274;231959252.34;2107488155.48;"2022-05-31T23:59:59.999Z"
"2022-05-30T00:00:00.000Z";"2022-05-30T23:59:59.999Z";"2022-05-30T23:58:00.000Z";"2022-05-30T00:58:00.000Z";"2781";0.0301198731;0.0329771124;0.0300425533;0.0329720113;183610256.18;2120613928.1;"2022-05-30T23:59:59.999Z"
"2022-05-29T00:00:00.000Z";"2022-05-29T23:59:59.999Z";"2022-05-29T22:44:00.000Z";"2022-05-29T03:05:00.000Z";"2781";0.0297345735;0.0301613087;0.0290070246;0.0301169645;121807264.21;1936989946.98;"2022-05-29T23:59:59.999Z"
"2022-05-28T00:00:00.000Z";"2022-05-28T23:59:59.999Z";"2022-05-28T23:47:00.000Z";"2022-05-28T02:45:00.000Z";"2781";0.0295190029;0.0299298318;0.0286845071;0.0297367794;132664590.07;1912538123.9;"2022-05-28T23:59:59.999Z"
"2022-05-27T00:00:00.000Z";"2022-05-27T23:59:59.999Z";"2022-05-27T12:48:00.000Z";"2022-05-27T06:10:00.000Z";"2781";0.0295524952;0.0304590554;0.0284999815;0.0289094934;218112831.12;1859330746.43;"2022-05-27T23:59:59.999Z"
"2022-05-26T00:00:00.000Z";"2022-05-26T23:59:59.999Z";"2022-05-26T00:31:00.000Z";"2022-05-26T13:22:00.000Z";"2781";0.0312911742;0.0320914181;0.0283130401;0.0295586364;244281079.37;1901080756.59;"2022-05-26T23:59:59.999Z"
"2022-05-25T00:00:00.000Z";"2022-05-25T23:59:59.999Z";"2022-05-25T02:58:00.000Z";"2022-05-25T12:01:00.000Z";"2781";0.0316643032;0.0324460955;0.0304845343;0.0312847169;185397052.96;2012094617.68;"2022-05-25T23:59:59.999Z"
"2022-05-24T00:00:00.000Z";"2022-05-24T23:59:59.999Z";"2022-05-24T05:34:00.000Z";"2022-05-24T14:13:00.000Z";"2781";0.0311015192;0.03211047;0.0297838638;0.0316615809;177377561.13;2036332842.61;"2022-05-24T23:59:59.999Z"
"2022-05-23T00:00:00.000Z";"2022-05-23T23:59:59.999Z";"2022-05-23T11:55:00.000Z";"2022-05-23T23:20:00.000Z";"2781";0.0320925576;0.0345588752;0.0308895064;0.0310955648;236847333.28;1999929194.56;"2022-05-23T23:59:59.999Z"
"2022-05-22T00:00:00.000Z";"2022-05-22T23:59:59.999Z";"2022-05-22T10:04:00.000Z";"2022-05-22T04:23:00.000Z";"2781";0.0308338601;0.0325940396;0.0306383092;0.0321037175;171840773.65;2064769113.45;"2022-05-22T23:59:59.999Z"
"2022-05-21T00:00:00.000Z";"2022-05-21T23:59:59.999Z";"2022-05-21T19:19:00.000Z";"2022-05-21T01:40:00.000Z";"2781";0.0301450584;0.031108783;0.0297313263;0.0308414359;134466799.99;1983584744.78;"2022-05-21T23:59:59.999Z"
"2022-05-20T00:00:00.000Z";"2022-05-20T23:59:59.999Z";"2022-05-20T11:08:00.000Z";"2022-05-20T18:39:00.000Z";"2781";0.0314203072;0.0319384061;0.0294241704;0.0301430238;174377220.08;1938665970.96;"2022-05-20T23:59:59.999Z"
"2022-05-19T00:00:00.000Z";"2022-05-19T23:59:59.999Z";"2022-05-19T15:43:00.000Z";"2022-05-19T02:16:00.000Z";"2781";0.0290700569;0.0315592422;0.0284059527;0.0314253654;186634338.23;2021140507.15;"2022-05-19T23:59:59.999Z"
"2022-05-18T00:00:00.000Z";"2022-05-18T23:59:59.999Z";"2022-05-18T00:31:00.000Z";"2022-05-18T23:59:00.000Z";"2781";0.0329057997;0.0330748383;0.0290697815;0.0290697815;173582329.58;1869639770.37;"2022-05-18T23:59:59.999Z"
"2022-05-17T00:00:00.000Z";"2022-05-17T23:59:59.999Z";"2022-05-17T13:46:00.000Z";"2022-05-17T18:36:00.000Z";"2781";0.0309482236;0.033230365;0.0309071734;0.0329046622;168075854.43;2116282335.61;"2022-05-17T23:59:59.999Z"
"2022-05-16T00:00:00.000Z";"2022-05-16T23:59:59.999Z";"2022-05-16T00:00:00.000Z";"2022-05-16T07:24:00.000Z";"2781";0.0335588123;0.0335588123;0.0301449433;0.0309482394;189296684.49;1990453874.42;"2022-05-16T23:59:59.999Z"
"2022-05-15T00:00:00.000Z";"2022-05-15T23:59:59.999Z";"2022-05-15T22:49:00.000Z";"2022-05-15T03:32:00.000Z";"2781";0.0319404339;0.0335851359;0.0304916021;0.0335587864;181136514.29;2158352712.92;"2022-05-15T23:59:59.999Z"
"2022-05-14T00:00:00.000Z";"2022-05-14T23:59:59.999Z";"2022-05-14T01:50:00.000Z";"2022-05-14T16:13:00.000Z";"2781";0.0305560312;0.0325364945;0.0287555155;0.0319386799;232480700.11;2054154629.05;"2022-05-14T23:59:59.999Z"
